N,P,K,temperature,humidity,ph,rainfall,label
29,63,90,25.128973,36.763636,6.156447,97.656169,chickpea
45,68,51,26.997957,98.052891,7.071941,184.302994,papaya
9,62,51,18.689577,66.384888,6.951433,220.218516,coffee
11,58,35,21.051617,48.565408,6.815173,98.399808,kidneybeans
10,144,196,23.626108,90.73403,6.144669,170.711893,apple
19,10,62,37.118134,93.177473,7.319342,184.175984,pomegranate
65,55,34,26.285491,85.639027,6.000187,277.862142,rice
118,34,60,27.039976,91.195281,6.265431,58.718699,muskmelon
16,28,48,36.534729,87.421034,6.651785,124.291314,pomegranate
8,35,47,27.252498,86.551778,6.341448,179.794007,coconut
38,68,40,20.317336,40.431632,6.132544,129.286502,kidneybeans
21,85,17,19.394151,59.594999,6.50672,96.680543,kidneybeans
30,131,188,10.897413,83.805741,6.617498,77.710897,grapes
1,123,198,19.154033,93.343076,5.951454,155.445456,apple
9,23,8,13.059012,90.844339,6.01608,131.035506,orange
93,18,52,29.341252,91.977356,6.386324,45.02744,muskmelon
85,25,56,31.743208,92.136134,7.272915,49.52294,muskmelon
135,63,20,28.163414,77.736232,7.720575,87.520377,cotton
22,56,25,24.290085,51.07066,6.44621,86.549343,pigeonpeas
25,59,33,21.385032,39.955993,6.453641,97.873328,kidneybeans
37,70,38,26.460688,63.820554,6.24337,103.49077,blackgram
24,76,38,26.069911,50.584485,6.215487,133.296508,pigeonpeas
107,30,46,33.498532,97.518402,6.577984,45.036013,muskmelon
16,33,43,33.924566,94.690292,5.955196,180.317118,pomegranate
14,75,33,25.64221,61.621016,6.79546,118.69424,pigeonpeas
20,101,204,9.458603,80.698619,6.425292,112.87123,grapes
61,57,37,33.816157,89.959456,6.501403,154.535372,jute
59,59,47,34.972371,94.842966,7.157578,204.086391,papaya
74,43,37,22.653776,83.643493,5.538186,258.514987,rice
98,12,63,34.228439,99.025622,7.173906,41.560397,muskmelon
27,79,33,30.074234,41.106246,6.551684,121.431176,pigeonpeas
30,63,27,19.516871,69.888189,7.580925,48.844761,lentil
14,37,30,28.29477,93.221857,6.058987,100.41035,coconut
15,17,57,23.512217,91.075826,6.560704,173.690886,pomegranate
11,40,19,27.606177,90.103151,6.416263,133.655537,orange
101,47,46,23.176551,87.454432,6.445796,257.09874,rice
120,60,22,31.404465,74.000874,6.891728,77.225389,cotton
65,32,46,25.277326,78.201673,5.714562,207.436865,rice
18,108,208,17.320455,90.404381,6.478866,89.417078,grapes
24,56,31,25.262881,50.307345,6.824416,110.703082,kidneybeans
